title,artist,date,Medium and Support,Object Type,Dimensions,description,Donor,Photographer,Publisher (Digital),Place of Creation,Classification,Coverage,Audience,Format,Digital Collection,Accession Number,File Name,Language,rights,Type,Valuation,Valuation Date,Valuation Source,format,object_thumb,object_download,reference_url
"Chicago","Register, John","1989","","","","","","","","","","","","","","2006.4.17","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/35","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/35/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0035.html"
"N-1957","McLaughlin, John","1957","","","","","","","","","","","","","","1000.1.1","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/36","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/36/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0036.html"
"Walking Man","Mullican, Lee","1985","","","","","","","","","","","","","","2007.3.1","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/37","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/37/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0037.html"
"Llave","Saar, Betty","1989","","","","","","","","","","","","","","2011.5.23","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/38","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/38/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0038.html"
"Untitled (From the Grand Hotel series)","Nicandro, Gluglio Gronk","1989","","","","","","","","","","","","","","2006.4.8","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/39","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/39/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0039.html"
"Wrapped Tree Project","Christo","1979","","","","","","","","","","","","","","2006.4.3","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/40","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/40/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0040.html"
"S-1957","McLaughlin, John","1957","","","","","","","","","","","","","","1000.1.4","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/41","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/41/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0041.html"
"Distant Hills","Secunda, Arthur","1976","","","","","","","","","","","","","","1997.10.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/42","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/42/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0042.html"
"Oriental Landscape","Berlant, Tony","1965","","","","","","","","","","","","","","2002.5.3","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/43","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/43/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0043.html"
"The Billionaire Deluxe","Kienholz, Edward","1977","","","","","","","","","","","","","","2011.5.14","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/44","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/44/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0044.html"
